Pasture,Exclosure,Transect,Grazed,Ecologial Site,1989 Burn,1994 Burn,2017 Burn,2018 Burn,Species,YR2011,YR2014,YR2017,YR2020
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERCU,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERIN,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERIO,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERPU,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERWR,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,FEWI,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,FOSP,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,FRAM,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HALA,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HASP,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HECO,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HIBE,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HIBI,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,JAGR,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,KRGR,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,KRPA,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LECO,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LEDU,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYAN,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYCI,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYPA,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYPH,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYTO,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MAMM,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MIBI,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MIDY,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MUAR,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MUPO,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPAC,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPAR,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPEN,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPFU,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPLE,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPVE,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OTHERPG,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OTHSHRUB,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,PAMU,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,PECI,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,SEMA,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,SIHY,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,SPOR,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,YUEL,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ZIOB,0,0,0,0
8,13,G2,Yes,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ZIPU,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ACAN,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ACCO,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ACGR,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,AGAV,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ALWR,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ANBA,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ARIS,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ATCA,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ATCO,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BABR,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BACC,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BARA,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BASA,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BOCH,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BOER,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BOFI,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BOHI,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BORO,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,CAAR,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,CEFL,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,CEMI,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,CEPA,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,COPA,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,CORO,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,DICA,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ECHI,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ENDE,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ENFR,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,EPTR,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERCU,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERIN,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERIO,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERPU,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERWR,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,FEWI,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,FOSP,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,FRAM,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,GUSA,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HALA,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HASP,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HECO,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HIBE,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HIBI,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,JAGR,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,KRGR,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,KRPA,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LECO,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LEDU,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYAN,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYCI,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYPA,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYPH,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYTO,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MAMM,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MIBI,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MUAR,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MUPO,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPAC,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPAR,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPFU,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPLE,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPSP,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPVE,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OTHERPG,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OTHSHRUB,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,PAMU,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,PECI,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,SIHY,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,SPOR,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,YUEL,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ZIOB,0,0,0,0
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ZIPU,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ACAN,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ACCO,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ACGR,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,AGAV,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ALWR,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ANBA,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ARIS,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ATCA,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ATCO,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BABR,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BACC,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BARA,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BASA,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BOCH,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BOER,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BOFI,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BOHI,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,BORO,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,CAAR,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,CEFL,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,CEMI,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,CEPA,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,COPA,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,CORO,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,DICA,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ECHI,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ENDE,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ENFR,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,EPTR,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERCU,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERIN,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERIO,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERPU,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ERWR,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,FEWI,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,FOSP,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,FRAM,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,GUSA,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HALA,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HASP,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HECO,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HIBE,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,HIBI,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,JAGR,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,KRGR,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,KRPA,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LECO,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LEDU,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYAN,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYCI,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYPA,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYPH,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,LYTO,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MAMM,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MIBI,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MUAR,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,MUPO,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPAC,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPAR,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPEN,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPFU,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPLE,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPSP,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OPVE,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OTHERPG,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,OTHSHRUB,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,PAMU,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,PECI,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,SIHY,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,SPOR,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,YUEL,0,0,0,0
8,13,U2,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,ZIPU,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ACAN,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ACCO,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ACGR,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,AGAV,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ALWR,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ANBA,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,APTE,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ARIS,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ATCA,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ATCO,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,BABR,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,BACC,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,BARA,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,BASA,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,BOCH,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,BOCU,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,BOER,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,BOFI,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,BOHI,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,BORO,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,CAAR,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,CEFL,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,CEMI,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,CEPA,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,COPA,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,CORO,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,DICA,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ECHI,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ENDE,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ENFR,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,EPTR,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERCU,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERIN,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERIO,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERPU,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERWR,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,FEWI,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,FOSP,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,FRAM,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,GUSA,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,HALA,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,HASP,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,HECO,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,HIBE,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,HIBI,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,JAGR,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,KRGR,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,KRPA,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,LECO,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,LEDU,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,LYAN,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,LYCI,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,LYPA,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,LYPH,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,LYTO,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,MAMM,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,MIBI,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,MIDY,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,MUAR,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,MUPO,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,OPAC,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,OPAR,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,OPEN,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,OPFU,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,OPLE,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,OPSP,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,OPVE,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,OTHERPG,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,OTHSHRUB,0,0,0,0
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,PAMU,0,0,0,0
