Pasture,Exclosure,Transect,Grazed,Ecologial Site,1989 Burn,1994 Burn,2017 Burn,2018 Burn,Species,YR2011,YR2014,YR2017,YR2020
2N,4,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,OPFU,18,9,20,33
6A,40,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,3,7,13,33
2S,35B,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ERLE,16,4,11,33
2N,5,U2,No,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,OPEN,10,14,44,32
4,11,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERCU,20,16,31,32
8,15,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERLE,9,11,25,32
2N,6,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,OPEN,6,12,19,32
2N,4,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,OPEN,35,10,19,32
2S,1A,G4,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,0,4,17,32
4,11,G2,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERLE,17,19,31,31
2S,1A,G2,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,APTE,6,9,32,30
4,9,G1,Yes,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,CAER,45,17,24,30
2S,35A,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,APTE,0,5,13,30
2N,5,U2,No,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,APTE,3,5,11,30
4,11,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,CAER,26,15,30,29
2N,6,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,APTE,4,0,18,29
12C,41,U1,No,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,ERLE,14,12,14,29
12C,41,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,ERLE,10,6,12,29
2S,1A,G5,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,APTE,17,17,29,28
12C,41,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,CAER,66,41,22,28
12C,41,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,ERLE,9,10,16,28
4,9,G2,Yes,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,GUSA,3,4,13,28
6D,22,U2,No,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,HECO,6,2,11,28
2N,6,G2,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,ERLE,10,11,9,28
2S,35A,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,JAGR,0,0,2,28
6D,7,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,OPEN,38,28,40,27
6A,8,U2,No,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,OPEN,45,16,16,26
2S,35B,U1,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ERLE,5,6,16,26
6D,22,U1,No,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,BAMU,0,0,0,26
12C,41,G1,Yes,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,GUSA,0,4,61,25
6D,22,G2,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,HECO,10,2,17,25
UA Cell E,28,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERLE,7,5,6,25
8,15,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,CAER,68,55,41,24
UA Cell E,28,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERLE,18,10,20,24
8,15,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERLE,18,19,17,24
2N,5,G1,Yes,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,OPEN,37,10,13,24
5 Mid,12,G1,Yes,"SLU 10-13"" Pz, Tubac Soil",No,No,No,No,OPEN,89,29,38,23
2S,35B,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ERLE,9,7,17,23
2N,6,G1,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,ERLE,9,9,15,23
8,15,U1,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,ERLE,6,5,13,23
UA Cell B,42,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERLE,8,17,11,23
2N,5,G2,Yes,"SLU 12-16"" Pz, Sasabe Soil",No,No,No,No,GUSA,0,16,29,22
1,31,U1,No,"SLD 16-20"" Pz, Lanque Soil",No,No,Yes,No,ERLE,3,2,10,22
6D,7,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,BABR,0,0,10,22
4,9,U2,No,"LU 12-16"" Pz, Eloma Soil",Yes,No,No,No,ERLE,4,4,6,22
1,31,U2,No,"SLD 16-20"" Pz, Lanque Soil",No,No,Yes,No,ERLE,2,4,6,22
2N,2B,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,HECO,0,2,2,22
2S,35A,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,No,No,No,ARIS,0,0,0,22
8,15,U1,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,CAER,59,32,26,21
6A,8,G1,Yes,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,ERLE,22,17,19,21
6A,40,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,OPEN,9,11,19,21
UA Cell D,23,G2,Yes,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,ERLE,6,14,17,21
12C,41,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,MIDY,35,32,10,21
6A,40,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,DICA,4,6,4,21
8,13,U1,No,"LU 16-20"" Pz Terrarose Soil",No,No,No,Yes,CAER,0,0,3,21
12C,41,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,Yes,No,No,GUSA,0,0,0,21
2N,2B,G1,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,0,3,27,20
UA Cell E,28,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPEN,0,5,15,20
UA Cell E,28,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERLE,11,8,13,20
6D,22,G1,Yes,"SLD 12-16"" Pz, Combate Soil",No,No,No,No,HECO,18,9,12,20
UA Cell E,28,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,ERLE,8,6,11,20
2N,4,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,0,0,3,20
4,11,U2,No,"LU 12-16"" Pz, Whitehouse Soil",No,No,No,No,PRVE,1,8,40,19
UA Cell E,28,G2,Yes,"SLU 12-16"" Pz, Diaspar Soil",No,Yes,No,No,OPEN,3,5,24,19
2N,4,U1,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,OPFU,6,16,22,19
6A,8,G2,Yes,"SLD 12-16"" Pz, Combate Soil",No,Yes,No,No,ERLE,13,6,14,19
UA Cell D,23,U2,No,"SLU 12-16"" Pz, Baboquivari Soil",No,Yes,No,No,ERLE,6,4,14,19
6D,7,U2,No,"SLU 12-16"" Pz, Diaspar Soil",No,No,No,No,APTE,1,0,10,19
